lat,lon,individual,date
-16.9353508,-57.3709967,Picole,"2015-01-01 16:00:53"
-16.8646689,-57.3934117,Caiman,"2015-01-01 17:00:07"
-16.9685744,-57.3826872,Alice,"2015-01-01 17:00:12"
-16.9125328,-57.4801558,Dale,"2015-01-01 17:00:19"
-16.9109711,-57.4804161,Anderson,"2015-01-01 17:00:22"
-16.8823772,-57.4202653,Fera,"2015-01-01 17:00:25"
-16.91099,-57.4803428,Anderson,"2015-01-01 18:00:13"
-16.8647517,-57.3935175,Caiman,"2015-01-01 18:00:16"
-16.9126078,-57.4800314,Dale,"2015-01-01 18:00:28"
-16.9686481,-57.3827108,Alice,"2015-01-01 18:00:42"
-16.8824183,-57.4201686,Fera,"2015-01-01 18:01:00"
-16.9380119,-57.3668833,Picole,"2015-01-01 18:01:10"
-16.9125692,-57.4801572,Dale,"2015-01-01 19:00:16"
-16.8646583,-57.3933492,Caiman,"2015-01-01 19:00:19"
-16.9686017,-57.3826542,Alice,"2015-01-01 19:00:29"
-16.8824344,-57.4201947,Fera,"2015-01-01 19:00:30"
-16.9111761,-57.4804822,Anderson,"2015-01-01 19:01:49"
-16.86469,-57.3932789,Caiman,"2015-01-01 20:00:08"
-16.9686117,-57.3826483,Alice,"2015-01-01 20:00:11"
-16.9111,-57.4805175,Anderson,"2015-01-01 20:00:17"
-16.8823586,-57.4202439,Fera,"2015-01-01 20:00:22"
-16.9160478,-57.4817856,Dale,"2015-01-01 20:00:30"
-16.9432667,-57.3658139,Picole,"2015-01-01 20:01:29"
-16.9685811,-57.3826517,Alice,"2015-01-01 21:00:13"
-16.8646419,-57.3933497,Caiman,"2015-01-01 21:00:24"
-16.9111942,-57.4805917,Anderson,"2015-01-01 21:00:29"
-16.8828936,-57.4195161,Fera,"2015-01-01 21:00:30"
-16.9160794,-57.4818589,Dale,"2015-01-01 21:02:44"
-16.8646489,-57.3933486,Caiman,"2015-01-01 22:00:07"
-16.9111025,-57.4806011,Anderson,"2015-01-01 22:00:12"
-16.9159383,-57.4819989,Dale,"2015-01-01 22:00:30"
-16.9470856,-57.3680875,Picole,"2015-01-01 22:01:26"
-16.9685589,-57.3826953,Alice,"2015-01-01 22:03:09"
-16.9685914,-57.3826803,Alice,"2015-01-01 23:00:17"
-16.9160544,-57.4818525,Dale,"2015-01-01 23:00:30"
-16.911115,-57.4804614,Anderson,"2015-01-01 23:00:30"
-16.8646842,-57.3933083,Caiman,"2015-01-01 23:00:47"
-16.8826025,-57.4200686,Fera,"2015-01-01 23:00:52"
-16.8646478,-57.3933611,Caiman,"2015-01-02 00:00:14"
-16.9111589,-57.4804822,Anderson,"2015-01-02 00:00:29"
-16.8826167,-57.4200594,Fera,"2015-01-02 00:00:48"
-16.94722,-57.3682003,Picole,"2015-01-02 00:01:29"
-16.9160014,-57.4819806,Dale,"2015-01-02 00:02:10"
-16.9109619,-57.4804161,Anderson,"2015-01-02 01:00:14"
-16.8646531,-57.3934061,Caiman,"2015-01-02 01:00:26"
-16.9158631,-57.4816069,Dale,"2015-01-02 01:00:36"
-16.9686111,-57.3826753,Alice,"2015-01-02 01:00:48"
-16.9472158,-57.3681903,Picole,"2015-01-02 01:01:18"
-16.9109683,-57.48038,Anderson,"2015-01-02 02:00:24"
