timestamp,location.long,location.lat,individual.local.identifier
"2015-01-05 05:01:20",-57.3924378,-16.9246375,Picole
"2015-01-05 06:01:54",-57.3923733,-16.92459,Picole
"2015-01-05 07:01:19",-57.3942939,-16.9222694,Picole
"2015-01-05 08:00:15",-57.39453,-16.9212208,Picole
"2015-01-05 09:00:17",-57.3942008,-16.92158,Picole
"2015-01-05 10:00:29",-57.3931792,-16.9210067,Picole
"2015-01-05 11:00:17",-57.3931642,-16.9210308,Picole
"2015-01-05 12:00:07",-57.3940208,-16.9254408,Picole
"2015-01-05 13:00:30",-57.3940269,-16.9257253,Picole
"2015-01-05 14:00:15",-57.3939969,-16.9258947,Picole
"2015-01-05 15:00:15",-57.3938658,-16.9258747,Picole
"2015-01-05 16:00:18",-57.3940231,-16.9255472,Picole
"2015-01-05 16:02:16",-57.39405,-16.9258842,Picole
"2015-01-05 18:01:14",-57.3922856,-16.9247719,Picole
"2015-01-05 20:01:47",-57.3922789,-16.9247722,Picole
"2015-01-05 22:01:17",-57.3923297,-16.9240675,Picole
"2015-01-06 00:01:29",-57.3923464,-16.9247286,Picole
"2015-01-06 01:01:17",-57.3922839,-16.9247528,Picole
"2015-01-06 02:01:08",-57.3923247,-16.9240869,Picole
"2015-01-06 03:01:29",-57.3945961,-16.9250142,Picole
"2015-01-06 04:01:17",-57.3923661,-16.9245028,Picole
"2015-01-06 05:01:12",-57.3930381,-16.9241647,Picole
"2015-01-06 07:02:02",-57.3927114,-16.9247175,Picole
"2015-01-06 11:00:29",-57.3926786,-16.9247533,Picole
"2015-01-06 12:00:13",-57.3926481,-16.9247408,Picole
"2015-01-06 13:00:13",-57.3940297,-16.9248208,Picole
"2015-01-06 14:00:29",-57.3949228,-16.9242192,Picole
"2015-01-06 15:00:12",-57.3932925,-16.9247389,Picole
"2015-01-06 16:00:17",-57.3952267,-16.9252978,Picole
"2015-01-06 16:01:17",-57.3952403,-16.925315,Picole
"2015-01-06 18:01:28",-57.39509,-16.9251411,Picole
"2015-01-06 20:01:30",-57.3940503,-16.9254697,Picole
"2015-01-06 22:02:45",-57.3952656,-16.9252867,Picole
"2015-01-07 00:01:28",-57.3952136,-16.9253158,Picole
"2015-01-07 01:01:21",-57.3952231,-16.9253192,Picole
"2015-01-07 02:01:33",-57.3952439,-16.9253194,Picole
"2015-01-07 03:01:25",-57.3944369,-16.9251058,Picole
"2015-01-07 04:01:08",-57.3941108,-16.9256508,Picole
"2015-01-07 05:01:08",-57.3948697,-16.9249472,Picole
"2015-01-07 06:01:29",-57.3941131,-16.9256536,Picole
"2015-01-07 07:01:15",-57.3939978,-16.9256708,Picole
"2015-01-07 08:00:04",-57.39387,-16.9250239,Picole
"2015-01-07 09:00:25",-57.3952656,-16.9252867,Picole
"2015-01-07 10:00:11",-57.3942839,-16.9252225,Picole
"2015-01-07 11:00:22",-57.3940106,-16.9252206,Picole
"2015-01-07 12:00:11",-57.3941122,-16.9251422,Picole
"2015-01-07 13:00:10",-57.3940217,-16.9256756,Picole
"2015-01-07 14:00:10",-57.3958325,-16.9245381,Picole
"2015-01-07 15:00:29",-57.3967728,-16.9246536,Picole
"2015-01-07 16:00:31",-57.3967728,-16.9246364,Picole
"2015-01-07 16:01:20",-57.3967636,-16.9246419,Picole
"2015-01-07 18:01:47",-57.3959694,-16.9244703,Picole
"2015-01-07 20:01:46",-57.3959564,-16.9244969,Picole
"2015-01-07 22:01:54",-57.3959739,-16.9244414,Picole
"2015-01-08 00:02:01",-57.3959508,-16.9244464,Picole
"2015-01-08 01:01:25",-57.3959503,-16.9244631,Picole
"2015-01-08 02:01:19",-57.3945197,-16.9251939,Picole
"2015-01-08 03:01:13",-57.3939767,-16.9256786,Picole
"2015-01-08 04:01:15",-57.3939997,-16.9255956,Picole
"2015-01-08 05:01:15",-57.3939231,-16.9256625,Picole
"2015-01-08 06:01:48",-57.3939578,-16.9256289,Picole
"2015-01-08 07:01:15",-57.3940239,-16.9256525,Picole
"2015-01-08 08:00:02",-57.3940008,-16.9256231,Picole
"2015-01-08 09:00:23",-57.3940578,-16.9256869,Picole
"2015-01-08 10:00:54",-57.3939336,-16.9256583,Picole
"2015-01-08 11:00:16",-57.3939708,-16.92568,Picole
"2015-01-08 12:00:09",-57.3961703,-16.9243367,Picole
"2015-01-08 13:00:30",-57.3956283,-16.92414,Picole
"2015-01-08 14:00:21",-57.3941533,-16.9256269,Picole
"2015-01-08 15:00:12",-57.3941508,-16.9256408,Picole
"2015-01-08 16:00:45",-57.3941492,-16.9256303,Picole
"2015-01-08 16:01:18",-57.3941683,-16.9256806,Picole
"2015-01-08 18:01:29",-57.3941428,-16.9255875,Picole
"2015-01-08 20:01:30",-57.3941481,-16.9256025,Picole
"2015-01-08 22:01:13",-57.3941558,-16.9255608,Picole
"2015-01-09 00:01:48",-57.3952489,-16.9253258,Picole
"2015-01-09 01:01:28",-57.3952206,-16.9253506,Picole
"2015-01-09 02:01:30",-57.3952244,-16.9253294,Picole
"2015-01-09 03:01:11",-57.3940544,-16.9253539,Picole
"2015-01-09 04:01:29",-57.3940714,-16.9256522,Picole
"2015-01-09 05:01:13",-57.3940369,-16.9256344,Picole
"2015-01-09 06:01:19",-57.3940025,-16.9256078,Picole
"2015-01-09 07:01:20",-57.3940911,-16.9256081,Picole
"2015-01-09 08:00:07",-57.3939844,-16.9256367,Picole
"2015-01-09 09:00:19",-57.3940019,-16.9256503,Picole
"2015-01-09 10:00:29",-57.3940189,-16.9256375,Picole
"2015-01-09 11:00:15",-57.3940269,-16.9256214,Picole
"2015-01-09 12:00:15",-57.3940111,-16.9257311,Picole
"2015-01-09 13:00:17",-57.393135,-16.9213914,Picole
"2015-01-09 14:00:53",-57.3931422,-16.9211242,Picole
"2015-01-09 15:00:22",-57.3932103,-16.9210981,Picole
"2015-01-09 16:00:22",-57.3932353,-16.9211644,Picole
"2015-01-09 16:01:12",-57.3932042,-16.921125,Picole
"2015-01-09 18:02:52",-57.3931897,-16.9211672,Picole
"2015-01-09 20:02:29",-57.3932161,-16.9210797,Picole
"2015-01-10 04:01:31",-57.3930814,-16.9208564,Picole
"2015-01-10 05:01:17",-57.3930922,-16.9208703,Picole
"2015-01-10 06:01:03",-57.3931844,-16.9209958,Picole
"2015-01-10 10:00:29",-57.3931006,-16.9222122,Picole
"2015-01-10 11:00:13",-57.3940169,-16.9256175,Picole
"2015-01-10 12:00:13",-57.3922633,-16.9240781,Picole
"2015-01-10 13:01:27",-57.3932025,-16.9212269,Picole
"2015-01-10 15:02:00",-57.3932194,-16.9211183,Picole
"2015-01-10 16:01:47",-57.3930744,-16.9209514,Picole
"2015-01-10 18:02:42",-57.3931442,-16.9212475,Picole
"2015-01-10 20:03:45",-57.3930806,-16.9211492,Picole
"2015-01-11 01:02:18",-57.3931347,-16.9211403,Picole
"2015-01-11 07:02:11",-57.3931919,-16.9211008,Picole
"2015-01-11 10:01:24",-57.3930964,-16.9212125,Picole
"2015-01-11 12:00:48",-57.3931928,-16.9211019,Picole
"2015-01-11 13:00:10",-57.3930728,-16.9209144,Picole
"2015-01-11 14:00:11",-57.3938428,-16.9221797,Picole
"2015-01-11 15:00:24",-57.3939625,-16.9281422,Picole
"2015-01-11 16:00:12",-57.3928231,-16.9229311,Picole
"2015-01-11 20:02:19",-57.3931258,-16.9211203,Picole
"2015-01-11 22:02:11",-57.3931039,-16.9209711,Picole
"2015-01-12 00:02:47",-57.3931375,-16.9211181,Picole
"2015-01-12 02:01:59",-57.3930964,-16.9211781,Picole
"2015-01-12 03:01:22",-57.3931944,-16.9209914,Picole
"2015-01-12 04:01:49",-57.3931383,-16.9210672,Picole
"2015-01-12 06:02:23",-57.3932767,-16.9211656,Picole
"2015-01-12 07:01:29",-57.3931497,-16.9210903,Picole
"2015-01-12 08:00:29",-57.3931672,-16.9209828,Picole
"2015-01-12 09:00:17",-57.3931464,-16.9209908,Picole
"2015-01-12 10:00:10",-57.3928642,-16.9207789,Picole
"2015-01-12 11:00:03",-57.3853456,-16.9267161,Picole
"2015-01-12 12:00:28",-57.3801294,-16.9312511,Picole
"2015-01-12 13:00:54",-57.3838203,-16.9367858,Picole
"2015-01-12 14:00:18",-57.3800681,-16.944965,Picole
"2015-01-12 15:00:27",-57.3795939,-16.95019,Picole
"2015-01-12 16:00:30",-57.3810358,-16.9509694,Picole
"2015-01-12 16:01:12",-57.3810331,-16.9509744,Picole
"2015-01-12 18:01:29",-57.3809933,-16.9509411,Picole
"2015-01-12 20:01:18",-57.3809997,-16.9509494,Picole
"2015-01-12 22:01:29",-57.3810078,-16.9509594,Picole
"2015-01-13 00:01:30",-57.3810436,-16.9510053,Picole
"2015-01-13 01:02:00",-57.3810522,-16.9509817,Picole
"2015-01-13 02:01:11",-57.3810233,-16.9509622,Picole
"2015-01-13 03:01:13",-57.3810169,-16.9509972,Picole
"2015-01-13 04:01:54",-57.371405,-16.9526469,Picole
"2015-01-13 05:01:11",-57.3722183,-16.9531714,Picole
"2015-01-13 06:01:15",-57.3721992,-16.9531647,Picole
"2015-01-13 07:01:14",-57.3721553,-16.9532558,Picole
"2015-01-13 08:00:28",-57.3722089,-16.9534272,Picole
"2015-01-13 09:00:12",-57.3716919,-16.9541447,Picole
"2015-01-13 10:00:16",-57.3697264,-16.9519553,Picole
"2015-01-13 11:00:09",-57.3671792,-16.9490944,Picole
"2015-01-13 12:00:29",-57.3671697,-16.9490911,Picole
"2015-01-13 13:00:18",-57.3671911,-16.9491014,Picole
"2015-01-13 14:00:14",-57.3683731,-16.9489792,Picole
"2015-01-13 15:00:30",-57.3690758,-16.9486625,Picole
"2015-01-13 16:00:54",-57.369155,-16.9486419,Picole
"2015-01-13 18:01:30",-57.3691994,-16.9486817,Picole
"2015-01-13 20:01:59",-57.369185,-16.9486372,Picole
"2015-01-13 22:01:54",-57.3692036,-16.9486264,Picole
"2015-01-14 01:01:54",-57.3691522,-16.9486564,Picole
"2015-01-14 02:02:41",-57.3692425,-16.9486414,Picole
"2015-01-14 03:01:54",-57.3691775,-16.9486106,Picole
"2015-01-14 04:01:48",-57.3692469,-16.9486728,Picole
"2015-01-14 06:01:23",-57.3691706,-16.9487056,Picole
"2015-01-14 07:02:00",-57.3692978,-16.9486336,Picole
"2015-01-14 08:00:12",-57.3691753,-16.9485992,Picole
"2015-01-14 09:00:30",-57.3691889,-16.9486772,Picole
"2015-01-14 10:00:30",-57.3691375,-16.9487069,Picole
"2015-01-14 11:00:16",-57.3691897,-16.9486781,Picole
"2015-01-14 13:02:04",-57.3692911,-16.9487467,Picole
"2015-01-14 14:00:30",-57.3749003,-16.9552261,Picole
"2015-01-14 15:00:14",-57.3785292,-16.9645903,Picole
"2015-01-14 16:00:16",-57.3846608,-16.9685772,Picole
"2015-01-14 16:01:48",-57.3846728,-16.9685842,Picole
"2015-01-14 18:01:29",-57.3869175,-16.9704883,Picole
"2015-01-14 20:01:48",-57.388025,-16.9709025,Picole
"2015-01-14 22:02:08",-57.3880956,-16.97088,Picole
"2015-01-15 00:01:48",-57.3880367,-16.9709086,Picole
"2015-01-15 01:01:01",-57.3875214,-16.9710747,Picole
"2015-01-15 02:01:17",-57.3875164,-16.9710769,Picole
"2015-01-15 04:01:30",-57.3878433,-16.9710694,Picole
"2015-01-15 05:01:48",-57.387865,-16.9710794,Picole
"2015-01-15 06:01:30",-57.38793,-16.9710242,Picole
"2015-01-15 07:03:55",-57.3880953,-16.9709483,Picole
"2015-01-15 08:01:24",-57.3878533,-16.9710561,Picole
"2015-01-15 09:00:18",-57.3881153,-16.9711817,Picole
"2015-01-15 10:00:30",-57.3879831,-16.9711869,Picole
"2015-01-15 11:00:26",-57.3869786,-16.9688192,Picole
"2015-01-15 12:00:24",-57.3823781,-16.9693225,Picole
"2015-01-15 13:00:22",-57.3799428,-16.9682133,Picole
"2015-01-15 14:00:30",-57.3780006,-16.96761,Picole
"2015-01-15 15:00:44",-57.3764492,-16.9618494,Picole
"2015-01-15 16:00:42",-57.3759878,-16.9576131,Picole
"2015-01-15 16:01:42",-57.3759261,-16.9575083,Picole
"2015-01-15 18:01:48",-57.3724483,-16.9527894,Picole
"2015-01-15 20:03:00",-57.3724275,-16.9529878,Picole
"2015-01-15 22:01:30",-57.3723961,-16.9524894,Picole
"2015-01-16 00:01:20",-57.3722867,-16.9525319,Picole
"2015-01-16 01:02:54",-57.372285,-16.9529189,Picole
"2015-01-16 02:01:30",-57.3713764,-16.9533972,Picole
"2015-01-16 03:01:13",-57.3721464,-16.95372,Picole
"2015-01-16 04:01:30",-57.372125,-16.9529061,Picole
"2015-01-16 05:01:17",-57.3722936,-16.9528519,Picole
"2015-01-16 06:01:49",-57.3722328,-16.952965,Picole
"2015-01-16 07:01:28",-57.3723789,-16.95303,Picole
"2015-01-16 08:00:47",-57.3720883,-16.9529714,Picole
"2015-01-16 09:00:47",-57.3723322,-16.9529964,Picole
"2015-01-16 10:00:28",-57.3722914,-16.9528489,Picole
"2015-01-16 11:00:33",-57.3722808,-16.9530003,Picole
"2015-01-16 12:00:10",-57.3723061,-16.9529806,Picole
"2015-01-16 13:00:10",-57.3722319,-16.9533531,Picole
"2015-01-16 18:01:29",-57.3729714,-16.953905,Picole
"2015-01-16 20:01:33",-57.3713411,-16.9533439,Picole
"2015-01-16 22:01:48",-57.371355,-16.9531711,Picole
"2015-01-17 00:01:21",-57.3713022,-16.9533375,Picole
"2015-01-17 01:01:54",-57.3712719,-16.9533508,Picole
"2015-01-17 02:03:08",-57.3712303,-16.9532719,Picole
"2015-01-17 03:01:29",-57.3718956,-16.9539456,Picole
"2015-01-17 04:01:11",-57.3728442,-16.9535614,Picole
"2015-01-17 05:01:14",-57.3726756,-16.953615,Picole
"2015-01-17 06:01:29",-57.3727392,-16.9535922,Picole
"2015-01-17 07:01:17",-57.3727783,-16.9535814,Picole
"2015-01-17 08:00:16",-57.3727986,-16.9537717,Picole
"2015-01-17 09:00:01",-57.3726639,-16.9537644,Picole
"2015-01-17 10:00:28",-57.3726253,-16.9537758,Picole
"2015-01-17 11:00:17",-57.3727758,-16.9536214,Picole
"2015-01-17 12:00:12",-57.3727522,-16.9536258,Picole
"2015-01-17 13:01:54",-57.3728169,-16.9538467,Picole
"2015-01-17 14:00:18",-57.3713903,-16.9532678,Picole
"2015-01-17 15:01:00",-57.3728572,-16.9538978,Picole
"2015-01-17 16:00:30",-57.3725897,-16.9536697,Picole
"2015-01-17 16:01:10",-57.3726094,-16.9536519,Picole
"2015-01-17 18:01:54",-57.3725522,-16.9536828,Picole
"2015-01-17 20:01:48",-57.3726428,-16.9537719,Picole
"2015-01-17 22:01:54",-57.3726717,-16.9536961,Picole
"2015-01-18 00:01:44",-57.3725989,-16.9537853,Picole
"2015-01-18 01:01:19",-57.3725706,-16.9537061,Picole
"2015-01-18 02:01:18",-57.3726303,-16.953765,Picole
"2015-01-18 03:01:29",-57.3725792,-16.9536911,Picole
"2015-01-18 04:01:13",-57.3728183,-16.9536581,Picole
"2015-01-18 05:01:45",-57.3728217,-16.9537578,Picole
"2015-01-18 06:01:11",-57.3727275,-16.9537242,Picole
"2015-01-18 07:01:29",-57.3726011,-16.9537619,Picole
"2015-01-18 08:00:14",-57.3726039,-16.9537139,Picole
"2015-01-18 09:00:16",-57.3727758,-16.9537683,Picole
"2015-01-18 10:00:30",-57.372825,-16.9537617,Picole
"2015-01-18 11:00:30",-57.3727744,-16.9537925,Picole
"2015-01-18 12:00:15",-57.3728031,-16.9538031,Picole
"2015-01-18 13:00:15",-57.3726514,-16.9538089,Picole
"2015-01-18 14:00:23",-57.3728919,-16.9537781,Picole
"2015-01-18 15:00:29",-57.3704803,-16.9510467,Picole
"2015-01-18 16:00:18",-57.3707583,-16.9501119,Picole
"2015-01-18 18:01:54",-57.3708672,-16.9501378,Picole
"2015-01-18 20:01:17",-57.3708736,-16.95012,Picole
"2015-01-18 22:01:22",-57.3708153,-16.9501497,Picole
"2015-01-19 00:01:21",-57.3707483,-16.9501336,Picole
